#qid,#kid,#rid,rdist,gdist,ratio,qtime(us)
0,0,37146,54,39,1.384615,361.000000
1,0,10190,32,21,1.523810,524.539000
2,0,32424,29,17,1.705882,397.193000
3,0,32059,50,36,1.388889,403.200000
4,0,39317,48,36,1.333333,318.164000
5,0,9092,46,36,1.277778,550.388000
6,0,30814,16,16,1.000000,486.890000
7,0,13425,56,43,1.302326,483.900000
8,0,7073,27,25,1.080000,355.822000
9,0,1427,50,43,1.162791,438.974000
10,0,4385,42,25,1.680000,170.596000
11,0,49957,56,38,1.473684,511.089000
12,0,1871,44,25,1.760000,394.079000
13,0,2002,18,16,1.125000,390.739000
14,0,584,31,22,1.409091,186.432000
15,0,30386,44,34,1.294118,417.439000
16,0,13795,36,21,1.714286,387.792000
17,0,19786,28,18,1.555556,368.389000
18,0,35203,30,25,1.200000,316.480000
19,0,29110,28,22,1.272727,403.389000
20,0,45355,23,16,1.437500,369.991000
21,0,19666,30,17,1.764706,343.829000
22,0,17241,33,21,1.571429,372.945000
23,0,43280,54,41,1.317073,499.828000
24,0,33189,20,14,1.428571,256.740000
25,0,8700,37,24,1.541667,482.714000
26,0,9244,57,41,1.390244,475.914000
27,0,25323,46,27,1.703704,11291.783000
28,0,44758,46,40,1.150000,608.442000
29,0,39548,27,19,1.421053,299.689000
30,0,25305,34,18,1.888889,365.650000
31,0,18255,36,24,1.500000,347.967000
32,0,40265,33,21,1.571429,273.003000
33,0,2669,20,20,1.000000,235.477000
34,0,34835,26,21,1.238095,429.842000
35,0,24376,54,33,1.636364,373.448000
36,0,28192,30,26,1.153846,406.164000
37,0,23579,36,30,1.200000,375.965000
38,0,13869,61,43,1.418605,455.210000
39,0,10078,40,31,1.290323,237.827000
40,0,33721,35,35,1.000000,502.728000
41,0,47031,28,23,1.217391,363.847000
42,0,37848,20,18,1.111111,558.812000
43,0,25572,26,15,1.733333,376.789000
44,0,42011,31,19,1.631579,369.421000
45,0,52694,39,32,1.218750,452.348000
46,0,44446,44,34,1.294118,269.087000
47,0,20246,53,48,1.104167,351.735000
48,0,21479,24,13,1.846154,434.145000
49,0,28042,31,20,1.550000,370.198000
50,0,35778,38,23,1.652174,348.043000
51,0,30780,26,20,1.300000,335.633000
52,0,46634,26,20,1.300000,295.771000
53,0,26582,40,30,1.333333,366.708000
54,0,12256,56,43,1.302326,385.347000
55,0,3148,32,15,2.133333,346.892000
56,0,26688,53,47,1.127660,369.201000
57,0,16388,53,30,1.766667,345.717000
58,0,28720,46,37,1.243243,408.846000
59,0,20614,58,49,1.183674,569.391000
60,0,33598,26,24,1.083333,470.860000
61,0,24704,37,27,1.370370,165.233000
62,0,19621,21,16,1.312500,287.999000
63,0,8116,13,13,1.000000,492.949000
64,0,51205,33,26,1.269231,351.507000
65,0,32936,50,31,1.612903,440.542000
66,0,48018,21,18,1.166667,489.808000
67,0,33730,55,49,1.122449,381.457000
68,0,43652,60,47,1.276596,752.151000
69,0,28252,57,37,1.540541,486.890000
70,0,41787,32,21,1.523810,739.937000
71,0,35834,16,12,1.333333,760.892000
72,0,48489,43,35,1.228571,588.503000
73,0,26485,46,34,1.352941,477.489000
74,0,17785,12,10,1.200000,445.753000
75,0,39264,49,40,1.225000,464.426000
76,0,44437,48,29,1.655172,422.873000
77,0,33442,54,22,2.454545,397.318000
78,0,22505,45,35,1.285714,407.853000
79,0,13097,35,27,1.296296,598.546000
80,0,14127,25,23,1.086957,318.838000
81,0,47158,39,31,1.258065,442.849000
82,0,12432,46,32,1.437500,472.116000
83,0,35651,28,23,1.217391,524.650000
84,0,360,36,16,2.250000,344.332000
85,0,23066,40,31,1.290323,426.665000
86,0,17404,42,26,1.615385,349.809000
87,0,658,15,15,1.000000,332.887000
88,0,43523,48,40,1.200000,362.527000
89,0,31875,28,27,1.037037,312.113000
90,0,37041,40,33,1.212121,315.159000
91,0,32474,42,31,1.354839,364.566000
92,0,32817,18,14,1.285714,273.088000
93,0,44631,38,29,1.310345,425.169000
94,0,2565,25,17,1.470588,428.799000
95,0,13083,46,33,1.393939,237.960000
96,0,24599,31,24,1.291667,352.819000
97,0,46529,44,17,2.588235,390.738000
98,0,34550,15,13,1.153846,265.858000
99,0,29609,43,34,1.264706,407.904000
100,0,44849,28,13,2.153846,285.040000
101,0,29891,30,22,1.363636,337.950000
102,0,44341,26,19,1.368421,1104.379000
103,0,2762,16,14,1.142857,361.720000
104,0,172,28,23,1.217391,421.332000
105,0,50419,56,44,1.272727,414.279000
106,0,36542,39,27,1.444444,479.492000
107,0,33974,40,16,2.500000,329.462000
108,0,10968,28,25,1.120000,523.800000
109,0,41041,57,42,1.357143,338.126000
110,0,47451,50,37,1.351351,459.642000
111,0,21037,30,14,2.142857,337.988000
112,0,14138,26,14,1.857143,353.952000
113,0,51836,48,36,1.333333,259.784000
114,0,52903,28,18,1.555556,273.947000
115,0,6554,26,18,1.444444,443.217000
116,0,10698,56,43,1.302326,453.081000
117,0,43246,42,36,1.166667,526.095000
118,0,52007,20,7,2.857143,324.477000
119,0,32091,30,24,1.250000,304.509000
120,0,30016,7,7,1.000000,415.478000
121,0,30135,10,10,1.000000,577.865000
122,0,33748,20,16,1.250000,578.081000
123,0,4395,24,21,1.142857,277.412000
124,0,12028,38,23,1.652174,406.688000
125,0,30675,47,27,1.740741,355.856000
126,0,35789,24,24,1.000000,487.619000
127,0,49217,24,20,1.200000,285.745000
128,0,52662,41,35,1.171429,330.421000
129,0,29533,38,27,1.407407,320.792000
130,0,53655,36,23,1.565217,721.139000
131,0,4490,29,19,1.526316,321.663000
132,0,24217,60,32,1.875000,741.496000
133,0,37174,39,24,1.625000,768.449000
134,0,35987,57,36,1.583333,594.113000
135,0,16880,40,23,1.739130,483.252000
136,0,16241,34,27,1.259259,613.905000
137,0,44165,11,11,1.000000,806.359000
138,0,14156,38,23,1.652174,765.854000
139,0,28672,34,27,1.259259,271.923000
140,0,7081,40,29,1.379310,440.149000
141,0,37554,52,35,1.485714,402.156000
142,0,3367,60,50,1.200000,698.402000
143,0,37848,8,7,1.142857,632.896000
144,0,13630,15,12,1.250000,300.346000
145,0,12027,47,41,1.146341,852.248000
146,0,22459,32,24,1.333333,364.838000
147,0,48403,34,22,1.545455,267.132000
148,0,51034,50,40,1.250000,462.632000
149,0,48372,23,10,2.300000,490.261000
150,0,44119,31,22,1.409091,506.921000
151,0,39847,28,24,1.166667,287.209000
152,0,47114,58,37,1.567568,481.967000
153,0,29679,26,14,1.857143,298.440000
154,0,2951,39,20,1.950000,770.428000
155,0,766,40,25,1.600000,400.698000
156,0,14471,10,10,1.000000,432.903000
