#qid,#kid,#rid,rdist,gdist,ratio,qtime(us)
0,0,53861,56,39,1.435897,342.868000
1,0,26040,40,21,1.904762,536.356000
2,0,32424,29,17,1.705882,359.402000
3,0,32059,50,36,1.388889,339.354000
4,0,39317,48,36,1.333333,233.145000
5,0,9092,46,36,1.277778,429.288000
6,0,30814,16,16,1.000000,364.935000
7,0,37692,64,43,1.488372,400.634000
8,0,42892,31,25,1.240000,270.656000
9,0,39354,53,43,1.232558,357.502000
10,0,35168,56,25,2.240000,124.103000
11,0,49957,56,38,1.473684,315.561000
12,0,1871,44,25,1.760000,297.591000
13,0,2002,18,16,1.125000,305.209000
14,0,584,31,22,1.409091,133.963000
15,0,17331,51,34,1.500000,717.963000
16,0,15204,40,21,1.904762,7046.984000
17,0,19786,28,18,1.555556,1086.399000
18,0,35203,30,25,1.200000,302.705000
19,0,29110,28,22,1.272727,327.457000
20,0,45355,23,16,1.437500,311.927000
21,0,52034,36,17,2.117647,242.154000
22,0,17241,33,21,1.571429,312.564000
23,0,43280,54,41,1.317073,427.382000
24,0,23810,21,14,1.500000,199.469000
25,0,8700,37,24,1.541667,364.075000
26,0,9244,57,41,1.390244,405.898000
27,0,16728,58,27,2.148148,237.505000
28,0,27618,47,40,1.175000,311.157000
29,0,5364,33,19,1.736842,240.511000
30,0,25305,34,18,1.888889,298.821000
31,0,18255,36,24,1.500000,286.886000
32,0,40265,33,21,1.571429,222.149000
33,0,6598,31,20,1.550000,182.506000
34,0,34835,26,21,1.238095,399.316000
35,0,50892,71,33,2.151515,302.173000
36,0,28192,30,26,1.153846,303.846000
37,0,11794,57,30,1.900000,298.290000
38,0,13869,61,43,1.418605,342.222000
39,0,40508,43,31,1.387097,189.230000
40,0,33721,35,35,1.000000,422.571000
41,0,47031,28,23,1.217391,259.521000
42,0,37848,20,18,1.111111,401.908000
43,0,29202,34,15,2.266667,310.921000
44,0,16758,36,19,1.894737,297.771000
45,0,52694,39,32,1.218750,359.722000
46,0,13042,53,34,1.558824,228.385000
47,0,20246,53,48,1.104167,284.932000
48,0,21479,24,13,1.846154,331.670000
49,0,28042,31,20,1.550000,312.593000
50,0,26858,43,23,1.869565,278.569000
51,0,30780,26,20,1.300000,263.085000
52,0,6282,28,20,1.400000,312.802000
53,0,53869,52,30,1.733333,304.545000
54,0,6194,60,43,1.395349,288.374000
55,0,3148,32,15,2.133333,285.980000
56,0,27902,55,47,1.170213,307.558000
57,0,16388,53,30,1.766667,272.956000
58,0,45537,51,37,1.378378,334.104000
59,0,20985,66,49,1.346939,442.530000
60,0,33598,26,24,1.083333,405.809000
61,0,24704,37,27,1.370370,105.993000
62,0,19621,21,16,1.312500,281.845000
63,0,8116,13,13,1.000000,425.615000
64,0,51205,33,26,1.269231,590.962000
65,0,32936,50,31,1.612903,427.595000
66,0,48018,21,18,1.166667,482.639000
67,0,33730,55,49,1.122449,315.136000
68,0,8494,62,47,1.319149,362.431000
69,0,28252,57,37,1.540541,287.234000
70,0,26242,47,21,2.238095,370.002000
71,0,28815,23,12,1.916667,308.249000
72,0,48489,43,35,1.228571,397.542000
73,0,7168,51,34,1.500000,367.841000
74,0,17785,12,10,1.200000,318.845000
75,0,1719,50,40,1.250000,334.396000
76,0,44437,48,29,1.655172,319.437000
77,0,17093,59,22,2.681818,342.788000
78,0,22505,45,35,1.285714,334.115000
79,0,13097,35,27,1.296296,299.084000
80,0,14127,25,23,1.086957,221.371000
81,0,7447,47,31,1.516129,336.284000
82,0,9154,47,32,1.468750,346.213000
83,0,35651,28,23,1.217391,417.432000
84,0,39923,38,16,2.375000,251.450000
85,0,9639,59,31,1.903226,321.452000
86,0,16705,45,26,1.730769,278.552000
87,0,658,15,15,1.000000,322.228000
88,0,43523,48,40,1.200000,270.987000
89,0,31875,28,27,1.037037,259.118000
90,0,47073,60,33,1.818182,293.182000
91,0,37464,44,31,1.419355,280.176000
92,0,2327,43,14,3.071429,224.253000
93,0,44631,38,29,1.310345,365.038000
94,0,2565,25,17,1.470588,343.756000
95,0,50900,49,33,1.484848,160.936000
96,0,24599,31,24,1.291667,287.639000
97,0,46529,44,17,2.588235,265.726000
98,0,34550,15,13,1.153846,226.575000
99,0,6436,48,34,1.411765,310.509000
100,0,8231,30,13,2.307692,234.361000
101,0,29891,30,22,1.363636,422.487000
